"","Temp","Day","Symbiont","Pot","Replicate","cells.larvae","count.type","cells.larvae_log","cells.larvae_counts","cells.larvae_counts_round","Infect","PotCode"
"199","27","7","C1","1","A",141.205266125,"ddPCR",2.15291567942245,141.205266125,141,1,"271C1"
"207","27","7","C1","1","B",1851.1309625,"ddPCR",3.26767169200045,1851.1309625,1851,1,"271C1"
"215","27","7","C1","2","A",408.67701175,"ddPCR",2.61244159502411,408.67701175,409,1,"272C1"
"223","27","7","C1","2","B",299.2045283125,"ddPCR",2.47741723889426,299.2045283125,299,1,"272C1"
"231","27","7","C1","3","C",1404.40678625,"ddPCR",3.14780204627236,1404.40678625,1404,1,"273C1"
"239","27","7","C1","3","B",668.3068275,"ddPCR",2.8256252551999,668.3068275,668,1,"273C1"
"247","30","7","C1","1","A",0,"ddPCR",0,0,0,0,"301C1"
"255","30","7","C1","1","B",1231.3978675,"ddPCR",3.09075093815692,1231.3978675,1231,1,"301C1"
"259","27","3","C1","1","A",6.2052751875,"ddPCR",0.857650572260413,6.2052751875,6,1,"271C1"
"260","30","3","C1","2","A",0,"ddPCR",0,0,0,0,"302C1"
"261","31","3","C1","3","A",0,"ddPCR",0,0,0,0,"313C1"
"262","31","7","C1","2","C",0,"ddPCR",0,0,0,0,"312C1"
"263","27","14","C1","3","A",17.688803375,"ddPCR",1.27158149483675,17.688803375,18,1,"273C1"
"271","27","3","C1","1","B",12.941900625,"ddPCR",1.14432198284978,12.941900625,13,1,"271C1"
"272","30","3","C1","2","B",0,"ddPCR",0,0,0,0,"302C1"
"273","31","3","C1","3","B",14.27616925,"ddPCR",1.18401446142777,14.27616925,14,1,"313C1"
"274","31","7","C1","3","A",7.037317375,"ddPCR",0.905111117947105,7.037317375,7,1,"313C1"
"275","27","14","C1","3","B",8599.16591875,"ddPCR",3.93450682995316,8599.16591875,8599,1,"273C1"
"283","27","3","C1","2","A",0,"ddPCR",0,0,0,0,"272C1"
"284","30","3","C1","3","A",6.761636125,"ddPCR",0.88995327862445,6.761636125,7,1,"303C1"
"285","30","7","C1","2","A",0,"ddPCR",0,0,0,0,"302C1"
"286","31","7","C1","3","B",0,"ddPCR",0,0,0,0,"313C1"
"287","30","14","C1","1","A",0,"ddPCR",0,0,0,0,"301C1"
"295","27","3","C1","2","B",0,"ddPCR",0,0,0,0,"272C1"
"296","30","3","C1","3","C",0,"ddPCR",0,0,0,0,"303C1"
"297","30","7","C1","2","B",278.640776875,"ddPCR",2.44660049997985,278.640776875,279,1,"302C1"
"299","30","14","C1","1","B",217.6501155,"ddPCR",2.33974971109318,217.6501155,218,1,"301C1"
"307","27","3","C1","3","A",43.3345325,"ddPCR",1.64674213326448,43.3345325,43,1,"273C1"
"308","31","3","C1","1","A",0,"ddPCR",0,0,0,0,"311C1"
"309","30","7","C1","3","A",0,"ddPCR",0,0,0,0,"303C1"
"310","27","14","C1","1","A",177.4445026875,"ddPCR",2.25150317325409,177.4445026875,177,1,"271C1"
"311","30","14","C1","1","E",150.2747535625,"ddPCR",2.17976645410796,150.2747535625,150,1,"301C1"
"319","27","3","C1","3","B",0,"ddPCR",0,0,0,0,"273C1"
"320","31","3","C1","1","B",0,"ddPCR",0,0,0,0,"311C1"
"321","30","7","C1","3","B",265.4702663125,"ddPCR",2.4256487559636,265.4702663125,265,1,"303C1"
"322","27","14","C1","1","B",6452.01969375,"ddPCR",3.80976299051762,6452.01969375,6452,1,"271C1"
"323","30","14","C1","2","A",6.07405,"ddPCR",0.849668125120711,6.07405,6,1,"302C1"
"331","30","3","C1","1","A",0,"ddPCR",0,0,0,0,"301C1"
"332","31","3","C1","2","A",0,"ddPCR",0,0,0,0,"312C1"
"333","31","7","C1","2","A",0,"ddPCR",0,0,0,0,"312C1"
"334","27","14","C1","2","A",28.6441035625,"ddPCR",1.47193832181723,28.6441035625,29,1,"272C1"
"335","30","14","C1","3","A",35.7865393125,"ddPCR",1.56568893357242,35.7865393125,36,1,"303C1"
"343","30","3","C1","1","B",0,"ddPCR",0,0,0,0,"301C1"
"344","31","3","C1","2","B",7.08478225,"ddPCR",0.907668327409157,7.08478225,7,1,"312C1"
"345","31","7","C1","2","B",12.7246538125,"ddPCR",1.13750139871651,12.7246538125,13,1,"312C1"
"346","27","14","C1","2","B",4592.133045,"ddPCR",3.66210902540323,4592.133045,4592,1,"272C1"
"347","31","14","C1","3","A",0,"ddPCR",0,0,0,0,"313C1"
"398","31","7","C1","3","B",0,"ddPCR",0,0,0,0,"313C1"
"3710","27","14","C1","2","B",6536.63825988769,"ddPCR",3.81542088655929,6536.63825988768,6537,1,"272C1"
"1324","27","3","C1","2","C",28.0058719217777,"ddPCR",1.46248592497084,28.0058719217777,28,1,"272C1"
"1423","31","7","C1","2","E",13.5102272033691,"ddPCR",1.16167421274077,13.5102272033691,14,1,"312C1"
"2523","27","3","C1","3","B",0,"ddPCR",0,0,0,0,"273C1"
"2623","30","7","C1","3","C",64.5108073949812,"ddPCR",1.81631295197391,64.5108073949812,65,1,"303C1"
"3715","30","3","C1","2","E",0,"ddPCR",0,0,0,0,"302C1"
"3814","31","7","C1","3","E",0,"ddPCR",0,0,0,0,"313C1"
"4913","31","3","C1","2","D",6.45986478775737,"ddPCR",0.872730955828831,6.45986478775737,6,1,"312C1"
"5012","27","14","C1","3","C",177.561402320862,"ddPCR",2.25178758797557,177.561402320862,178,1,"273C1"
"6118","31","3","C1","1","D",0,"ddPCR",0,0,0,0,"311C1"
"6215","27","14","C1","1","E",382.23659992218,"ddPCR",2.58346697844723,382.23659992218,382,1,"271C1"
"7313","27","7","C1","3","E",0,"ddPCR",0,0,0,0,"273C1"
"8513","27","7","C1","1","D",387.807190418243,"ddPCR",2.58973428796743,387.807190418243,388,1,"271C1"
"8014","27","3","C1","1","D",0,"ddPCR",0,0,0,0,"271C1"
"1","27","3","C1","1","A",0,"scope",0,0,0,0,"271C1"
"2","27","3","C1","1","B",5,"scope",0.731462175360625,4.38842913101977,4,1,"271C1"
"3","27","3","C1","1","C",23,"scope",1.29739856720891,18.8334637705269,19,1,"271C1"
"4","27","3","C1","2","A",22,"scope",1.28002416585654,18.05566748257,18,1,"272C1"
"5","27","3","C1","2","B",1,"scope",0.282968195924142,0.918528238650529,1,1,"272C1"
"6","27","3","C1","2","C",0,"scope",0,0,0,0,"272C1"
"7","27","3","C1","3","A",38,"scope",1.49560073060491,30.304064563119,30,1,"273C1"
"8","27","3","C1","3","B",113,"scope",1.93349056025628,84.8006465051705,85,1,"273C1"
"9","27","3","C1","3","C",0,"scope",0,0,0,0,"273C1"
"10","30","3","C1","1","A",0,"scope",0,0,0,0,"301C1"
"11","30","3","C1","1","B",1,"scope",0.282968195924142,0.918528238650529,1,1,"301C1"
"12","30","3","C1","1","C",0,"scope",0,0,0,0,"301C1"
"13","30","3","C1","2","A",4,"scope",0.657031804075858,3.5397486073424,4,1,"302C1"
"14","30","3","C1","2","B",0,"scope",0,0,0,0,"302C1"
"15","30","3","C1","2","C",0,"scope",0,0,0,0,"302C1"
"16","30","3","C1","3","A",4,"scope",0.657031804075858,3.5397486073424,4,1,"303C1"
"17","30","3","C1","3","B",5,"scope",0.731462175360625,4.38842913101977,4,1,"303C1"
"18","30","3","C1","3","C",1,"scope",0.282968195924142,0.918528238650529,1,1,"303C1"
"19","31","3","C1","1","A",4,"scope",0.657031804075858,3.5397486073424,4,1,"311C1"
