"","ALL.number","Temp","Day","Pot","C1","D1","F1","G3","numclade","Infect","PotCode","Symbiont"
"1","1","27","3","1",1,1,1,1,4,1,"271","All"
"2","10","30","3","2",1,1,0,1,3,1,"302","All"
"3","100","30","14","2",1,1,0,1,3,1,"302","All"
"4","101","30","14","3",1,1,0,1,3,1,"303","All"
"5","102","30","7","2",1,1,0,1,3,1,"302","All"
"6","103","30","7","2",1,1,1,1,4,1,"302","All"
"7","104","30","7","3",1,1,1,1,4,1,"303","All"
"8","105","27","14","1",0,0,0,0,0,0,"271","All"
"9","106","27","14","2",1,1,0,1,3,1,"272","All"
"10","107","27","14","2",1,1,0,1,3,1,"272","All"
"11","108","27","14","3",1,1,1,1,4,1,"273","All"
"12","109","30","14","1",1,0,1,1,3,1,"301","All"
"13","11","30","3","3",1,0,1,1,3,1,"303","All"
"14","110","31","3","2",0,0,1,1,2,1,"312","All"
"15","112","27","14","1",1,1,0,1,3,1,"271","All"
"16","113","27","14","1",1,1,1,1,4,1,"271","All"
"17","114","27","14","2",1,0,1,1,3,1,"272","All"
"18","115","31","14","1",0,0,0,0,0,0,"311","All"
"19","116","30","14","1",1,1,1,1,4,1,"301","All"
"20","118","27","3","1",1,1,1,1,4,1,"271","All"
"21","119","27","3","2",1,1,1,1,4,1,"272","All"
"22","12","30","3","3",0,1,0,1,2,1,"303","All"
"23","121","30","3","1",1,1,0,1,3,1,"301","All"
"24","123","30","3","3",1,1,1,1,4,1,"303","All"
"25","124","31","3","1",0,1,1,1,3,1,"311","All"
"26","126","31","3","3",1,1,1,1,4,1,"313","All"
"27","127","27","3","1",1,1,1,1,4,1,"271","All"
"28","128","27","3","2",1,1,1,1,4,1,"272","All"
"29","129","27","3","3",1,1,1,1,4,1,"273","All"
"30","13","31","3","1",0,0,1,1,2,1,"311","All"
"31","131","30","3","2",0,1,0,1,2,1,"302","All"
"32","132","30","3","3",1,1,0,1,3,1,"303","All"
"33","133","31","3","1",1,0,0,1,2,1,"311","All"
"34","134","31","3","2",0,0,0,0,0,0,"312","All"
"35","139","31","3","1",1,1,1,1,4,1,"311","All"
"36","14","31","3","1",1,1,0,1,3,1,"311","All"
"37","140","31","3","1",0,1,1,1,3,1,"311","All"
"38","141","27","7","1",1,1,1,1,4,1,"271","All"
"39","142","27","7","1",1,1,1,1,4,1,"271","All"
"40","143","27","7","2",1,1,1,1,4,1,"272","All"
"41","144","27","7","2",1,1,1,1,4,1,"272","All"
"42","145","27","7","3",1,1,1,1,4,1,"273","All"
"43","146","27","7","3",1,1,1,1,4,1,"273","All"
"44","147","27","7","3",1,1,0,1,3,1,"273","All"
"45","148","30","7","1",1,1,1,1,4,1,"301","All"
"46","149","30","7","1",1,1,1,1,4,1,"301","All"
"47","15","31","3","1",0,0,1,1,2,1,"311","All"
"48","150","30","7","2",0,1,0,1,2,1,"302","All"
"49","151","30","7","2",1,1,1,1,4,1,"302","All"
"50","152","30","7","2",1,1,1,1,4,1,"302","All"
"51","153","30","7","1",0,1,1,1,3,1,"301","All"
"52","154","27","14","1",1,1,0,1,3,1,"271","All"
"53","155","27","14","1",1,1,0,1,3,1,"271","All"
"54","156","30","7","2",0,0,0,0,0,0,"302","All"
"55","157","27","14","1",1,1,1,1,4,1,"271","All"
"56","158","27","14","1",1,1,1,1,4,1,"271","All"
"57","159","27","14","2",1,0,0,1,2,1,"272","All"
"58","16","31","3","2",1,1,1,1,4,1,"312","All"
"59","160","27","14","3",1,1,1,1,4,1,"273","All"
"60","161","27","14","3",1,1,0,1,3,1,"273","All"
"61","162","27","14","3",1,1,0,1,3,1,"273","All"
"62","163","27","3","2",0,1,1,1,3,1,"272","All"
"63","164","27","3","2",1,1,1,1,4,1,"272","All"
"64","165","27","7","2",1,1,1,1,4,1,"272","All"
"65","166","27","3","1",1,1,0,1,3,1,"271","All"
"66","167","30","3","3",0,1,1,1,3,1,"303","All"
"67","168","30","7","3",1,1,0,1,3,1,"303","All"
"68","169","27","3","3",0,0,1,1,2,1,"273","All"
"69","17","31","3","2",0,1,1,1,3,1,"312","All"
"70","170","27","3","3",1,0,0,1,2,1,"273","All"
"71","171","27","3","1",0,1,1,1,3,1,"271","All"
"72","172","27","3","2",1,1,1,1,4,1,"272","All"
"73","173","27","3","3",1,1,0,1,3,1,"273","All"
"74","174","27","3","2",1,1,1,1,4,1,"272","All"
"75","175","27","3","1",1,0,1,1,3,1,"271","All"
"76","176","30","7","1",1,1,1,1,4,1,"301","All"
"77","178","27","3","1",0,0,1,1,2,1,"271","All"
"78","179","30","3","2",0,1,1,1,3,1,"302","All"
"79","18","31","3","3",0,1,1,1,3,1,"313","All"
"80","180","30","3","1",1,1,1,1,4,1,"301","All"
"81","181","30","3","2",1,1,1,1,4,1,"302","All"
"82","182","30","3","1",0,1,1,1,3,1,"301","All"
"83","183","30","3","1",0,1,1,1,3,1,"301","All"
"84","184","30","3","2",0,0,1,1,2,1,"302","All"
"85","185","30","3","2",0,1,1,1,3,1,"302","All"
"86","186","30","3","2",1,1,0,1,3,1,"302","All"
"87","189","31","3","3",1,1,1,1,4,1,"313","All"
"88","19","27","14","3",1,1,1,1,4,1,"273","All"
"89","190","31","3","3",0,1,1,1,3,1,"313","All"
"90","191","31","3","1",0,1,1,1,3,1,"311","All"
"91","192","31","3","1",0,1,1,1,3,1,"311","All"
