Temp,Symbiont,Pot,Replicate,Project,Tube label,Nuber of Larvae other than 3,Count1,Count2,Mean cells/mL,total volume (mL),#cells in 70 uL,Cells per larva,Day
27C,C1,1,A,SC18_D14_DNA,1,3,69,60,71666.66667,0.07,5016.666667,1672.222222,14
27C,C1,1,B,SC18_D14_DNA,2,3,15,20,19444.44444,0.07,1361.111111,453.7037037,14
27C,C1,1,C,SC18_D14_DNA,3,3,21,23,24444.44444,0.07,1711.111111,570.3703704,14
27C,C1,2,A,SC18_D14_DNA,4,3,72,90,90000,0.07,6300,2100,14
27C,C1,2,B,SC18_D14_DNA,5,3,58,39,53888.88889,0.07,3772.222222,1257.407407,14
27C,C1,2,C,SC18_D14_DNA,6,3,70,95,91666.66667,0.07,6416.666667,2138.888889,14
27C,C1,3,A,SC18_D14_DNA,7,3,45,56,56111.11111,0.07,3927.777778,1309.259259,14
27C,C1,3,B,SC18_D14_DNA,8,3,71,65,75555.55556,0.07,5288.888889,1762.962963,14
27C,C1,3,C,SC18_D14_DNA,9,3,91,90,100555.5556,0.07,7038.888889,2346.296296,14
27C,D1,1,A,SC18_D14_DNA,10,2,52,42,52222.22222,0.07,3655.555556,1827.777778,14
27C,D1,1,B,SC18_D14_DNA,11,2,19,24,23888.88889,0.07,1672.222222,836.1111111,14
27C,D1,1,C,SC18_D14_DNA,12,2,23,16,21666.66667,0.07,1516.666667,758.3333333,14
27C,D1,2,A,SC18_D14_DNA,13,2,29,25,30000,0.07,2100,1050,14
27C,D1,2,B,SC18_D14_DNA,14,3,22,34,31111.11111,0.07,2177.777778,725.9259259,14
27C,D1,2,C,SC18_D14_DNA,15,3,58,57,63888.88889,0.07,4472.222222,1490.740741,14
27C,D1,3,A,SC18_D14_DNA,16,3,71,78,82777.77778,0.07,5794.444444,1931.481481,14
27C,D1,3,B,SC18_D14_DNA,17,3,85,100,102777.7778,0.07,7194.444444,2398.148148,14
27C,D1,3,C,SC18_D14_DNA,18,3,119,135,141111.1111,0.07,9877.777778,3292.592593,14
27C,F1,1,A,SC18_D14_DNA,19,3,2,1,1666.666667,0.07,116.6666667,38.88888889,14
27C,F1,1,B,SC18_D14_DNA,20,3,0,0,0,0.07,0,0,14
27C,F1,1,C,SC18_D14_DNA,21,3,0,1,555.5555556,0.07,38.88888889,12.96296296,14
27C,F1,2,A,SC18_D14_DNA,22,3,1,0,555.5555556,0.07,38.88888889,12.96296296,14
27C,F1,2,B,SC18_D14_DNA,23,3,0,3,1666.666667,0.07,116.6666667,38.88888889,14
27C,F1,2,C,SC18_D14_DNA,24,3,0,0,0,0.07,0,0,14
27C,F1,3,A,SC18_D14_DNA,25,3,0,0,0,0.07,0,0,14
27C,F1,3,B,SC18_D14_DNA,26,3,0,1,555.5555556,0.07,38.88888889,12.96296296,14
27C,F1,3,C,SC18_D14_DNA,27,3,0,0,0,0.07,0,0,14
27C,G3,1,A,SC18_D14_DNA,28,2,10,18,15555.55556,0.07,1088.888889,544.4444444,14
27C,G3,1,B,SC18_D14_DNA,29,2,1,2,1666.666667,0.07,116.6666667,58.33333333,14
