Temp,Symbiont,Pot,Replicate,Count,Day
27,C1,1,A,0,3
27,C1,1,B,5,3
27,C1,1,C,23,3
27,C1,2,A,22,3
27,C1,2,B,1,3
27,C1,2,C,0,3
27,C1,3,A,38,3
27,C1,3,B,113,3
27,C1,3,C,0,3
30,C1,1,A,0,3
30,C1,1,B,1,3
30,C1,1,C,0,3
30,C1,2,A,4,3
30,C1,2,B,0,3
30,C1,2,C,0,3
30,C1,3,A,4,3
30,C1,3,B,5,3
30,C1,3,C,1,3
31,C1,1,A,4,3
31,C1,1,B,0,3
31,C1,1,C,2,3
31,C1,2,A,0,3
31,C1,2,B,0,3
31,C1,2,C,0,3
31,C1,3,A,0,3
31,C1,3,B,0,3
31,C1,3,C,0,3
27,D1,1,A,185,3
27,D1,1,B,53,3
27,D1,1,C,93,3
27,D1,2,A,66,3
27,D1,2,B,49,3
27,D1,2,C,250,3
27,D1,3,A,143,3
27,D1,3,B,0,3
27,D1,3,C,2346,3
30,D1,1,A,2856,3
30,D1,1,B,336,3
30,D1,1,C,406,3
30,D1,2,A,69,3
30,D1,2,B,178,3
30,D1,2,C,249,3
30,D1,3,A,58,3
30,D1,3,B,488,3
30,D1,3,C,524,3
31,D1,1,A,48,3
31,D1,1,B,134,3
31,D1,1,C,5,3
31,D1,2,A,45,3
31,D1,2,B,93,3
31,D1,2,C,12,3
31,D1,3,A,170,3
31,D1,3,B,344,3
31,D1,3,C,544,3
27,F1,1,A,3,3
27,F1,1,B,5,3
27,F1,1,C,0,3
27,F1,2,A,35,3
27,F1,2,B,34,3
27,F1,2,C,2,3
27,F1,3,A,0,3
27,F1,3,B,0,3
27,F1,3,C,2,3
30,F1,1,A,0,3
30,F1,1,B,3,3
30,F1,1,C,0,3
30,F1,2,A,4,3
30,F1,2,B,0,3
30,F1,2,C,1,3
30,F1,3,A,4,3
30,F1,3,B,1,3
30,F1,3,C,0,3
31,F1,1,A,20,3
31,F1,1,B,4,3
31,F1,1,C,10,3
31,F1,2,A,3,3
31,F1,2,B,1,3
31,F1,2,C,20,3
31,F1,3,A,0,3
31,F1,3,B,0,3
31,F1,3,C,2,3
27,G3,1,A,50,3
27,G3,1,B,9,3
27,G3,1,C,2,3
27,G3,2,A,122,3
27,G3,2,B,15,3
27,G3,2,C,11,3
27,G3,3,A,23,3
27,G3,3,B,15,3
27,G3,3,C,196,3
30,G3,1,A,83,3
30,G3,1,B,134,3
30,G3,1,C,2,3
30,G3,2,A,6,3
30,G3,2,B,13,3
30,G3,2,C,6,3
30,G3,3,A,3,3
30,G3,3,B,38,3
30,G3,3,C,0,3
31,G3,1,A,18,3
31,G3,1,B,14,3
31,G3,1,C,7,3
31,G3,2,A,14,3
31,G3,2,B,4,3
31,G3,2,C,11,3
31,G3,3,A,55,3
31,G3,3,B,0,3
31,G3,3,C,16,3
27,ALL,1,A,93,3
27,ALL,1,B,24,3
27,ALL,1,C,307,3
27,ALL,2,A,252,3
27,ALL,2,B,68,3
27,ALL,2,C,77,3
27,ALL,3,A,481,3
27,ALL,3,B,552,3
27,ALL,3,C,81,3
30,ALL,1,A,168,3
30,ALL,1,B,195,3
30,ALL,1,C,0,3
30,ALL,2,A,585,3
30,ALL,2,B,114,3
30,ALL,2,C,128,3
30,ALL,3,A,98,3
30,ALL,3,B,31,3
30,ALL,3,C,123,3
31,ALL,1,A,205,3
31,ALL,1,B,106,3
31,ALL,1,C,80,3
31,ALL,2,A,343,3
31,ALL,2,B,61,3
31,ALL,2,C,20,3
31,ALL,3,A,69,3
31,ALL,3,B,344,3
31,ALL,3,C,0,3
