Temp,Symbiont,Pot,Replicate,Tube label,#larvae,Count 1,Count 2,Mean cells/mL,total volume (mL),#cells in 70 uL,Cells per larva,Day
27,C1,1,A,1,3,12,14,14444.44444,0.07,1011.111111,337.037037,7
27,C1,1,B,2,3,9,9,10000,0.07,700,233.3333333,7
27,C1,1,C,3,3,12,21,18333.33333,0.07,1283.333333,427.7777778,7
27,C1,2,A,4,3,30,36,36666.66667,0.07,2566.666667,855.5555556,7
27,C1,2,B,5,3,11,8,10555.55556,0.07,738.8888889,246.2962963,7
27,C1,2,C,6,3,8,8,8888.888889,0.07,622.2222222,207.4074074,7
27,C1,3,A,7,3,22,13,19444.44444,0.07,1361.111111,453.7037037,7
27,C1,3,B,8,3,18,16,18888.88889,0.07,1322.222222,440.7407407,7
27,C1,3,C,9,3,41,26,37222.22222,0.07,2605.555556,868.5185185,7
27,D1,1,A,10,3,61,61,67777.77778,0.07,4744.444444,1581.481481,7
27,D1,1,B,11,3,36,39,41666.66667,0.07,2916.666667,972.2222222,7
27,D1,1,C,12,3,21,15,20000,0.07,1400,466.6666667,7
27,D1,2,A,13,3,32,35,37222.22222,0.07,2605.555556,868.5185185,7
27,D1,2,B,14,3,39,59,54444.44444,0.07,3811.111111,1270.37037,7
27,D1,2,C,15,3,30,24,30000,0.07,2100,700,7
27,D1,3,A,16,3,25,35,33333.33333,0.07,2333.333333,777.7777778,7
27,D1,3,B,17,3,55,86,78333.33333,0.07,5483.333333,1827.777778,7
27,D1,3,C,18,3,99,78,98333.33333,0.07,6883.333333,2294.444444,7
27,F1,1,A,19,3,0,3,1666.666667,0.07,116.6666667,38.88888889,7
27,F1,1,B,20,3,3,4,3888.888889,0.07,272.2222222,90.74074074,7
27,F1,1,C,21,3,0,0,0,0.07,0,0,7
27,F1,2,A,22,3,0,0,0,0.07,0,0,7
27,F1,2,B,23,3,0,0,0,0.07,0,0,7
27,F1,2,C,24,3,1,1,1111.111111,0.07,77.77777778,25.92592593,7
27,F1,3,A,25,3,0,0,0,0.07,0,0,7
27,F1,3,B,26,3,0,0,0,0.07,0,0,7
27,F1,3,C,27,3,0,0,0,0.07,0,0,7
27,G3,1,A,28,3,3,4,3888.888889,0.07,272.2222222,90.74074074,7
27,G3,1,B,29,3,9,4,7222.222222,0.07,505.5555556,168.5185185,7
27,G3,1,C,30,3,3,3,3333.333333,0.07,233.3333333,77.77777778,7
27,G3,2,A,31,3,21,11,17777.77778,0.07,1244.444444,414.8148148,7
27,G3,2,B,32,3,4,0,2222.222222,0.07,155.5555556,51.85185185,7
27,G3,2,C,33,3,7,2,5000,0.07,350,116.6666667,7
27,G3,3,A,34,3,0,3,1666.666667,0.07,116.6666667,38.88888889,7
27,G3,3,B,35,3,4,4,4444.444444,0.07,311.1111111,103.7037037,7
27,G3,3,C,36,3,6,12,10000,0.07,700,233.3333333,7
27,ALL,1,A,37,3,11,17,15555.55556,0.07,1088.888889,362.962963,7
27,ALL,1,B,38,3,18,14,17777.77778,0.07,1244.444444,414.8148148,7
27,ALL,1,C,39,3,12,8,11111.11111,0.07,777.7777778,259.2592593,7
27,ALL,2,A,40,3,12,12,13333.33333,0.07,933.3333333,311.1111111,7
27,ALL,2,B,41,3,24,17,22777.77778,0.07,1594.444444,531.4814815,7
27,ALL,2,C,42,3,21,12,18333.33333,0.07,1283.333333,427.7777778,7
27,ALL,3,A,43,3,5,14,10555.55556,0.07,738.8888889,246.2962963,7
27,ALL,3,B,44,3,8,9,9444.444444,0.07,661.1111111,220.3703704,7
27,ALL,3,C,45,3,18,17,19444.44444,0.07,1361.111111,453.7037037,7
27,CONTROL,1,A,46,3,0,0,0,0.07,0,0,7
27,CONTROL,1,B,47,3,0,0,0,0.07,0,0,7
27,CONTROL,1,C,48,3,0,0,0,0.07,0,0,7
30,C1,1,A,49,3,0,4,2222.222222,0.07,155.5555556,51.85185185,7
30,C1,1,B,50,3,2,0,1111.111111,0.07,77.77777778,25.92592593,7
30,C1,1,C,51,3,3,1,2222.222222,0.07,155.5555556,51.85185185,7
30,C1,2,A,52,3,1,4,2777.777778,0.07,194.4444444,64.81481481,7
30,C1,2,B,53,3,22,8,16666.66667,0.07,1166.666667,388.8888889,7
30,C1,2,C,54,3,0,1,555.5555556,0.07,38.88888889,12.96296296,7
30,C1,3,A,55,3,2,3,2777.777778,0.07,194.4444444,64.81481481,7
30,C1,3,B,56,3,9,4,7222.222222,0.07,505.5555556,168.5185185,7
30,C1,3,C,57,3,0,3,1666.666667,0.07,116.6666667,38.88888889,7
30,D1,1,A,58,1,90,82,95555.55556,0.07,6688.888889,6688.888889,7
30,D1,1,B,59,2,34,34,37777.77778,0.07,2644.444444,1322.222222,7
30,D1,1,C,60,1,32,48,44444.44444,0.07,3111.111111,3111.111111,7
30,D1,2,A,61,3,72,102,96666.66667,0.07,6766.666667,2255.555556,7
30,D1,2,B,62,3,76,76,84444.44444,0.07,5911.111111,1970.37037,7
30,D1,2,C,63,3,47,55,56666.66667,0.07,3966.666667,1322.222222,7
30,D1,3,A,64,2,27,29,31111.11111,0.07,2177.777778,1088.888889,7
30,D1,3,B,65,2,58,46,57777.77778,0.07,4044.444444,2022.222222,7
30,D1,3,C,66,2,4,5,5000,0.07,350,175,7
