Day,Temp,Symbiont,Pot,Alive,Failures
1,27,C1,1,250,0
1,27,C1,2,250,0
1,27,C1,3,250,0
1,27,D1,1,250,0
1,27,D1,2,250,0
1,27,D1,3,250,0
1,27,F1,1,250,0
1,27,F1,2,250,0
1,27,F1,3,250,0
1,27,G3,1,250,0
1,27,G3,2,250,0
1,27,G3,3,250,0
1,27,All,1,250,0
1,27,All,2,250,0
1,27,All,3,250,0
1,27,Control,1,250,0
1,30,C1,1,220,0
1,30,C1,2,220,0
1,30,C1,3,220,0
1,30,D1,1,220,0
1,30,D1,2,220,0
1,30,D1,3,220,0
1,30,F1,1,220,0
1,30,F1,2,220,0
1,30,F1,3,220,0
1,30,G3,1,220,0
1,30,G3,2,220,0
1,30,G3,3,220,0
1,30,All,1,220,0
1,30,All,2,220,0
1,30,All,3,220,0
1,30,Control,1,220,0
1,31,C1,1,225,0
1,31,C1,2,225,0
1,31,C1,3,225,0
1,31,D1,1,225,0
1,31,D1,2,225,0
1,31,D1,3,225,0
1,31,F1,1,225,0
1,31,F1,2,225,0
1,31,F1,3,225,0
1,31,G3,1,225,0
1,31,G3,2,225,0
1,31,G3,3,225,0
1,31,All,1,225,0
1,31,All,2,225,0
1,31,All,3,225,0
1,31,Control,1,225,0
7,27,C1,1,58,192
7,27,C1,2,76,174
7,27,C1,3,67,183
7,27,D1,1,50,200
7,27,D1,2,73,177
7,27,D1,3,78,172
7,27,F1,1,76,174
7,27,F1,2,70,180
7,27,F1,3,120,130
7,27,G3,1,49,201
7,27,G3,2,110,140
7,27,G3,3,72,178
7,27,All,1,78,172
7,27,All,2,62,188
7,27,All,3,79,171
7,27,Control,1,52,198
7,30,C1,1,44,176
7,30,C1,2,43,177
7,30,C1,3,33,187
7,30,D1,1,36,184
7,30,D1,2,27,193
7,30,D1,3,36,184
7,30,F1,1,78,142
7,30,F1,2,89,131
7,30,F1,3,39,181
7,30,G3,1,42,178
7,30,G3,2,71,149
7,30,G3,3,48,172
7,30,All,1,52,168
7,30,All,2,39,181
7,30,All,3,63,157
7,30,Control,1,11,209
7,31,C1,1,14,211
7,31,C1,2,22,203
7,31,C1,3,26,199
7,31,D1,1,8,217
7,31,D1,2,8,217
7,31,D1,3,13,212
7,31,F1,1,11,214
7,31,F1,2,11,214
7,31,F1,3,28,197
7,31,G3,1,39,186
7,31,G3,2,14,211
7,31,G3,3,12,213
7,31,All,1,38,187
7,31,All,2,5,220
7,31,All,3,5,220
7,31,Control,1,16,209
14,27,C1,1,24,226
14,27,C1,2,28,222
14,27,C1,3,21,229
14,27,D1,1,11,239
14,27,D1,2,17,233
14,27,D1,3,18,232
14,27,F1,1,19,231
14,27,F1,2,26,224
14,27,F1,3,48,202
14,27,G3,1,16,234
14,27,G3,2,38,212
14,27,G3,3,26,224
14,27,All,1,28,222
14,27,All,2,15,235
14,27,All,3,25,225
14,27,Control,1,14,236
14,30,C1,1,12,208
14,30,C1,2,6,214
14,30,C1,3,4,216
14,30,D1,1,4,216
14,30,D1,2,4,216
14,30,D1,3,3,217
14,30,F1,1,11,209
14,30,F1,2,19,201
14,30,F1,3,8,212
14,30,G3,1,8,212
14,30,G3,2,13,207
14,30,G3,3,18,202
14,30,All,1,11,209
14,30,All,2,9,211
14,30,All,3,8,212
14,30,Control,1,5,215
14,31,C1,1,5,220
14,31,C1,2,5,220
14,31,C1,3,6,219
14,31,D1,1,0,225
14,31,D1,2,0,225
14,31,D1,3,0,225
14,31,F1,1,1,224
14,31,F1,2,1,224
14,31,F1,3,3,222
14,31,G3,1,6,219
14,31,G3,2,3,222
14,31,G3,3,3,222
14,31,All,1,0,225
14,31,All,2,0,225
14,31,All,3,0,225
14,31,Control,1,5,220
