Plate,Well,Sample,Day,Temp,Symbiont,Pot,Replicate,Box,Number,Primer,Info,ALL.number,ul.DNA,BACKUP.NUMBER
3,A01,D1_31C_D7_3C,7,31,D1,3,C,K,24,D1,D1,,4,
3,A02,D1_31C_D14_3A,14,27,D1,3,A,C,8,D1,D1,,4,
3,A03,G3_27C_D14_3A,14,27,G3,3,A,C,14,G3,G3,,4,
3,A04,G3_31C_D14_1A,14,31,G3,1,A,C,32,G3,G3,,4,
3,A05,F1_27C_D7_1A,7,27,F1,1,A,A,16,F1,F1,,4,
3,A06,F1_27C_D7_1A_DI,7,27,F1,1,A,A,16,F1,1:10,,0.4,
3,A07,C1_27C_D7_1A,7,27,C1,1,A,A,4,C1,C1,,4,
3,A08,C1_27C_D7_1A_DI,7,27,C1,1,A,A,4,C1,1:10,,0.4,
3,B01,D1_31C_D7_3D,7,31,D1,3,D,L,25,D1,D1,,4,
3,B02,D1_31C_D14_3A,14,27,D1,3,B,G,26,D1,D1,,4,
3,B03,G3_27C_D14_3C,14,27,G3,3,C,F,39,G3,G3,,4,
3,B04,G3_31C_D14_1B,14,31,G3,1,B,G,46,G3,G3,,4,
3,B05,F1_27C_D7_1A,7,27,F1,1,B,I,13,F1,F1,,4,
3,B06,F1_27C_D7_1A_DI,7,27,F1,1,B,I,13,F1,1:10,,0.4,
3,B07,C1_27C_D7_1B,7,27,C1,1,B,I,1,C1,C1,,4,
3,B08,C1_27C_D7_1B_DI,7,27,C1,1,B,I,1,C1,1:10,,0.4,
3,C01,D1_31C_D7_3E,7,31,D1,3,E,K,25,D1,D1,,4,
3,C02,D1_30C_D14_1A,14,30,D1,1,A,C,18,D1,D1,,4,
3,C03,G3_30C_D14_1A,14,30,G3,1,A,C,25,G3,G3,,4,
3,C04,G3_31C_D14_1C,14,31,G3,1,C,G,47,G3,G3,,4,
3,C05,F1_27C_D7_2A,7,27,F1,2,A,A,17,F1,F1,,4,
3,C06,F1_27C_D7_2A_DI,7,27,F1,2,A,A,17,F1,1:10,,0.4,
3,C07,C1_27C_D7_2A,7,27,C1,2,A,A,5,C1,C1,,4,
3,C08,C1_27C_D7_2A_DI,7,27,C1,2,A,A,5,C1,1:10,,0.4,
3,D01,D1_27C_D14_1A,14,27,D1,1,A,C,6,D1,D1,,4,
3,D02,D1_30C_D14_2A,14,30,D1,2,A,C,19,D1,D1,,4,
3,D03,G3_30C_D14_2A,14,30,G3,2,A,C,26,G3,G3,,4,
3,D04,G3_31C_D14_1D,14,31,G3,1,D,I,47,G3,G3,,4,
3,D05,F1_27C_D7_2B,7,27,F1,2,B,I,15,F1,F1,,4,
3,D06,F1_27C_D7_2B_DI,7,27,F1,2,B,I,15,F1,1:10,,0.4,
3,D07,C1_27C_D7_2B,7,27,C1,2,B,I,3,C1,C1,,4,
3,D08,C1_27C_D7_2B_DI,7,27,C1,2,B,I,3,C1,1:10,,0.4,
3,E01,D1_27C_D14_1B,14,27,D1,1,B,F,24,D1,D1,,4,
3,E02,D1_30C_D14_3A,14,30,D1,3,A,C,20,D1,D1,,4,
3,E03,G3_30C_D14_2B,14,30,G3,2,B,G,42,G3,G3,,4,
3,E04,G3_31C_D14_1E,14,31,G3,1,E,P,25,G3,G3,,4,
3,E05,F1_27C_D7_3A,7,27,F1,3,A,A,18,F1,F1,,4,
3,E06,F1_27C_D7_3A_DI,7,27,F1,3,A,A,18,F1,1:10,,0.4,
3,E07,C1_27C_D7_3C,7,27,C1,3,C,H,5,C1,C1,,4,
3,E08,C1_27C_D7_3C_DI,7,27,C1,3,C,H,5,C1,1:10,,0.4,
3,F01,D1_27C_D14_1C,14,27,D1,1,C,G,23,D1,D1,,4,
3,F02,D1_NTC,,,,,,,,D1,NTC,,4,
3,F03,G3_30C_D14_2D,14,30,G3,2,D,G,43,G3,G3,,4,
3,F04,G3_NTC,,,,,,,,G3,NTC,,4,
3,F05,F1_27C_D7_3B,7,27,F1,3,B,I,17,F1,F1,,4,
3,F06,F1_27C_D7_3B_DI,7,27,F1,3,B,I,17,F1,1:10,,0.4,
3,F07,C1_27C_D7_3B,7,27,C1,3,B,I,5,C1,C1,,4,
3,F08,C1_27C_D7_3B_DI,7,27,C1,3,B,I,5,C1,1:10,,0.4,
3,G01,D1_27C_14_2A,14,27,D1,2,A,C,7,D1,D1,,4,
3,G02,G3_27C_D14_2A,14,27,G3,2,A,C,13,G3,G3,,4,
3,G03,G3_30C_D14_3A,14,30,G3,3,A,C,27,G3,G3,,4,
3,G04,F1_NTC,,,,,,,,F1,NTC,,4,
3,G05,F1_30C_D7_1A,7,30,F1,3,A,B,33,F1,F1,,4,
3,G06,F1_30C_D7_1A_DI,7,30,F1,1,A,B,31,F1,1:10,,0.4,
3,G07,C1_30C_D7_1A,7,30,C1,1,A,B,25,C1,C1,,4,
3,G08,C1_30C_D7_1A_DI,7,30,C1,1,A,B,25,C1,1:10,,0.4,
3,H01,D1_27C_D14_2B,14,27,D1,2,B,G,24,D1,D1,,4,
3,H02,G3_27C_D14_2B,14,27,G3,2,B,G,35,G3,G3,,4,
3,H03,G3_30C_D14_3B,14,30,G3,3,B,F,47,G3,G3,,4,
3,H04,C1_NTC,,,,,,,,C1,NTC,,4,
3,H05,F1_30C_D7_1B,7,30,F1,2,A,B,32,F1,F1,,4,
3,H06,F1_30C_D7_1B_DI,7,30,F1,1,B,K,46,F1,1:10,,0.4,
3,H07,C1_30C_D7_1B,7,30,C1,1,B,I,35,C1,C1,,4,
3,H08,C1_30C_D7_1B_DI,7,30,C1,1,B,I,35,C1,1:10,,0.4,
