Plate,Well,Sample,Day,Temp,Symbiont,Pot,Replicate,Box,Number,Primer,Info,ALL.number,ul.DNA,BACKUP.NUMBER
8,A01,48ALL_C1,3,31,ALL,2,C,P,1,C1,ALL,48,4,
8,A02,48ALL_D1,3,31,ALL,2,C,P,1,D1,ALL,48,4,
8,A03,48ALL_F1,3,31,ALL,2,C,P,1,F1,ALL,48,4,
8,A04,48ALL_G1,3,31,ALL,2,C,P,1,G3,ALL,48,4,
8,A05,56ALL_F1,7,27,ALL,2,C,H,28,F1,ALL,56,4,
8,A06,56ALL_C1,7,27,ALL,2,C,H,28,C1,ALL,56,4,
8,A07,56ALL_G3,7,27,ALL,2,C,H,28,G3,ALL,56,4,
8,A08,56ALL_D1,7,27,ALL,2,C,H,28,D1,ALL,56,4,
8,A09,64ALL_C1,7,31,ALL,2,E,K,35,C1,ALL,64,4,
8,A10,64ALL_G3,7,31,ALL,2,E,K,35,G3,ALL,64,4,
8,A11,64ALL_D1,7,31,ALL,2,E,K,35,D1,ALL,64,4,
8,A12,64ALL_F1,7,31,ALL,2,E,K,35,F1,ALL,64,4,
8,B01,49ALL_C1,3,31,ALL,3,A,P,2,C1,ALL,49,4,
8,B02,49ALL_D1,3,31,ALL,3,A,P,2,D1,ALL,49,4,
8,B03,49ALL_F1,3,31,ALL,3,A,P,2,F1,ALL,49,4,
8,B04,49ALL_G1,3,31,ALL,3,A,P,2,G3,ALL,49,4,
8,B05,57ALL_F1,7,27,ALL,2,E,H,29,F1,ALL,57,4,
8,B06,57ALL_C1,7,27,ALL,2,E,H,29,C1,ALL,57,4,
8,B07,57ALL_G3,7,27,ALL,2,E,H,29,G3,ALL,57,4,
8,B08,57ALL_D1,7,27,ALL,2,E,H,29,D1,ALL,57,4,
8,B09,65ALL_C1,7,31,ALL,2,C,K,34,C1,ALL,65,4,
8,B10,65ALL_G3,7,31,ALL,2,C,K,34,G3,ALL,65,4,
8,B11,65ALL_D1,7,31,ALL,2,C,K,34,D1,ALL,65,4,
8,B12,65ALL_F1,7,31,ALL,2,C,K,34,F1,ALL,65,4,
8,C01,50ALL_C1,3,31,ALL,3,C,P,3,C1,ALL,50,4,
8,C02,50ALL_D1,3,31,ALL,3,C,P,3,D1,ALL,50,4,
8,C03,50ALL_F1,3,31,ALL,3,C,P,3,F1,ALL,50,4,
8,C04,50ALL_G1,3,31,ALL,3,C,P,3,G3,ALL,50,4,
8,C05,58ALL_F1,7,27,ALL,3,B,H,30,F1,ALL,58,4,
8,C06,58ALL_C1,7,27,ALL,3,B,H,30,C1,ALL,58,4,
8,C07,58ALL_G3,7,27,ALL,3,B,H,30,G3,ALL,58,4,
8,C08,58ALL_D1,7,27,ALL,3,B,H,30,D1,ALL,58,4,
8,C09,66ALL_C1,7,31,ALL,2,D,L,35,C1,ALL,66,4,
8,C10,66ALL_G3,7,31,ALL,2,D,L,35,G3,ALL,66,4,
8,C11,66ALL_D1,7,31,ALL,2,D,L,35,D1,ALL,66,4,
8,C12,66ALL_F1,7,31,ALL,2,D,L,35,F1,ALL,66,4,
8,D01,51ALL_C1,3,31,ALL,3,E,P,4,C1,ALL,51,2,
8,D02,51ALL_D1,3,31,ALL,3,E,P,4,D1,ALL,51,4,
8,D03,51ALL_F1,3,31,ALL,3,E,P,4,F1,ALL,51,4,
8,D04,51ALL_G1,3,31,ALL,3,E,P,4,G3,ALL,51,4,
8,D05,59ALL_F1,7,27,ALL,3,D,H,31,F1,ALL,59,4,
8,D06,59ALL_C1,7,27,ALL,3,D,H,31,C1,ALL,59,4,
8,D07,59ALL_G3,7,27,ALL,3,D,H,31,G3,ALL,59,4,
8,D08,59ALL_D1,7,27,ALL,3,D,H,31,D1,ALL,59,4,
8,D09,67ALL_C1,3,30,ALL,2,E,J,35,C1,ALL,67,4,
8,D10,67ALL_G3,3,30,ALL,2,E,J,35,G3,ALL,67,4,
8,D11,67ALL_D1,3,30,ALL,2,E,J,35,D1,ALL,67,4,
8,D12,67ALL_F1,3,30,ALL,2,E,J,35,F1,ALL,67,4,
8,E01,52ALL_C1,7,30,ALL,3,C,L,19,C1,ALL,52,4,
8,E02,52ALL_D1,7,30,ALL,3,C,L,19,D1,ALL,52,4,
8,E03,52ALL_F1,7,30,ALL,3,C,L,19,F1,ALL,52,4,
8,E04,52ALL_G1,7,30,ALL,3,C,L,19,G3,ALL,52,4,
8,E05,60ALL_F1,3,27,ALL,3,E,J,21,F1,ALL,60,4,
8,E06,60ALL_C1,3,27,ALL,3,E,J,21,C1,ALL,60,4,
8,E07,60ALL_G3,3,27,ALL,3,E,J,21,G3,ALL,60,4,
8,E08,60ALL_D1,3,27,ALL,3,E,J,21,D1,ALL,60,4,
8,E09,68ALL_C1,7,27,ALL,3,C,I,31,C1,ALL,68,4,
8,E10,68ALL_G3,7,27,ALL,3,C,I,31,G3,ALL,68,4,
8,E11,68ALL_D1,7,27,ALL,3,C,I,31,D1,ALL,68,4,
8,E12,68ALL_F1,7,27,ALL,3,C,I,31,F1,ALL,68,4,
8,F01,53ALL_C1,7,27,ALL,1,E,I,27,C1,ALL,53,4,
8,F02,53ALL_D1,7,27,ALL,1,E,I,27,D1,ALL,53,4,
8,F03,53ALL_F1,7,27,ALL,1,E,I,27,F1,ALL,53,4,
8,F04,53ALL_G1,7,27,ALL,1,E,I,27,G3,ALL,53,4,
8,F05,61ALL_F1,3,30,ALL,1,D,J,29,F1,ALL,61,4,
8,F06,61ALL_C1,3,30,ALL,1,D,J,29,C1,ALL,61,4,
8,F07,61ALL_G3,3,30,ALL,1,D,J,29,G3,ALL,61,4,
8,F08,61ALL_D1,3,30,ALL,1,D,J,29,D1,ALL,61,4,
8,F09,69ALL_C1,7,30,ALL,3,E,L,20,C1,ALL,69,4,
8,F10,69ALL_G3,7,30,ALL,3,E,L,20,G3,ALL,69,4,
8,F11,69ALL_D1,7,30,ALL,3,E,L,20,D1,ALL,69,4,
8,F12,69ALL_F1,7,30,ALL,3,E,L,20,F1,ALL,69,4,
8,G01,54ALL_C1,7,27,ALL,2,D,I,29,C1,ALL,54,4,
8,G02,54ALL_D1,7,27,ALL,2,D,I,29,D1,ALL,54,4,
8,G03,54ALL_F1,7,27,ALL,2,D,I,29,F1,ALL,54,4,
8,G04,54ALL_G1,7,27,ALL,2,D,I,29,G3,ALL,54,4,
8,G05,62ALL_F1,3,30,ALL,2,B,J,32,F1,ALL,62,4,
8,G06,62ALL_C1,3,30,ALL,2,B,J,32,C1,ALL,62,4,
8,G07,62ALL_G3,3,30,ALL,2,B,J,32,G3,ALL,62,4,
8,G08,62ALL_D1,3,30,ALL,2,B,J,32,D1,ALL,62,4,
8,G09,70ALL_C1,7,27,ALL,3,E,I,32,C1,ALL,70,4,
8,G10,70ALL_G3,7,27,ALL,3,E,I,32,G3,ALL,70,4,
8,G11,70ALL_D1,7,27,ALL,3,E,I,32,D1,ALL,70,4,
8,G12,70ALL_F1,7,27,ALL,3,E,I,32,F1,ALL,70,4,
8,H01,55ALL_C1,7,27,ALL,2,E,J,29,C1,ALL,55,4,
8,H02,55ALL_D1,7,27,ALL,2,E,J,29,D1,ALL,55,4,
8,H03,55ALL_F1,7,27,ALL,2,E,J,29,F1,ALL,55,4,
8,H04,55ALL_G1,7,27,ALL,2,E,J,29,G3,ALL,55,4,
8,H05,63ALL_F1,3,30,ALL,2,C,J,33,F1,ALL,63,4,
8,H06,63ALL_C1,3,30,ALL,2,C,J,33,C1,ALL,63,4,
8,H07,63ALL_G3,3,30,ALL,2,C,J,33,G3,ALL,63,4,
8,H08,63ALL_D1,3,30,ALL,2,C,J,33,D1,ALL,63,4,
8,H09,NTC_C1,,,,,,,,C1,NTC,,4,
8,H10,NTC_G3,,,,,,,,G3,NTC,,4,
8,H11,NTC_D1,,,,,,,,D1,NTC,,4,
