Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A06,F1_27C_D7_1A_DI,F1,NA,CHECK,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,,,,,,1165,0,1165,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A07,C1_27C_D7_1A,C1,2.259284258,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,45.1856842,,,3.345386744,1.438765168,11467,22,11445,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,16084.53702,5056.293546,5077.451771,,,,,2.775420427,1.811601281,,,,,,,,,,,,
A08,C1_27C_D7_1A_DI,C1,0.566236973,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,11.32473946,,,1.230780482,0.199057877,10391,5,10386,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,17158.02598,4847.283884,4853.207636,,,,,0.862487495,0.347184211,,,,,,,,,,,,
B06,F1_27C_D7_1A_DI,F1,0.314999491,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,6.2999897,,,0.835038185,0.074752249,11206,3,11203,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19753.19206,10670.07405,10672.50573,,,,,0.539330542,0.163684204,,,,,,,,,,,,
B07,C1_27C_D7_1B,C1,29.6180954,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,592.3619385,,,33.13687897,26.10980415,10981,273,10708,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,17388.7574,7252.984098,7504.970813,,,,,31.41207695,27.82684326,,,,,,,,,,,,
B08,C1_27C_D7_1B_DI,C1,2.451677561,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,49.03355026,,,3.630412102,1.561239481,10568,22,10546,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,17158.7093,5145.357236,5170.366106,,,,,3.011822701,1.965839624,,,,,,,,,,,,
C06,F1_27C_D7_2A_DI,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.308144033,0,11440,0,11440,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,10687.63552,10687.63552,,,,,0.140794098,0,,,,,,,,,,,,
C07,C1_27C_D7_2A,C1,6.538832188,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,130.7766418,,,8.395938873,4.979521751,10284,57,10227,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,17045.09488,5084.048553,5150.343734,,,,,7.442669868,5.711785793,,,,,,,,,,,,
C08,C1_27C_D7_2A_DI,C1,1.0958184,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,21.91636848,,,1.930859566,0.54548043,10741,10,10731,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,16463.02813,4805.916465,4816.769376,,,,,1.481241107,0.783954203,,,,,,,,,,,,
D06,F1_27C_D7_2B_DI,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.3094154,0,11393,0,11393,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,10799.14512,10799.14512,,,,,0.141374961,0,,,,,,,,,,,,
