Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,C1A_1,C1,NA,CHECK,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,,,,,,959,615,344,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,15860.58204,9133.807998,13447.6412,,,,,,,,,,,,,,,,,,
A02,C1B_4,C1,7.597021103,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,151.9404297,,,9.458163261,5.999196053,11652,75,11577,0,0,0,0,,,,,,,,,12895.46582,,,,,,,,,,,,,,15446.78621,5639.215981,5702.344008,,,,,8.507493973,6.75437355,,,,,,,,,,,,
A03,F1A_1,F1,1000000,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,FAM,20000000,,,1000000,9657.764648,11008,11008,0,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,20266.26397,0,20266.26397,,,,,1000000,10579.17285,,,,,,,,,,,,
A04,F1B_4,F1,8.08930397,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,FAM,161.7860718,,,10.03028584,6.418144703,11383,78,11305,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,20003.60604,11479.03617,11537.44928,,,,,9.03939724,7.208712101,,,,,,,,,,,,
A05,CONTROL_27C_D3_1B_F1,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,FAM,0,,,0.304997653,0,11558,0,11558,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,11657.70714,11657.70714,,,,,0.139356598,0,,,,,,,,,,,,
B01,C1A_2,C1,636.5273438,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,12730.54688,,,655.1739502,618.1715698,11152,4660,6492,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,15335.42091,6298.373918,10074.61486,,,,,646.0039673,627.1263428,,,,,,,,,,,,
B02,C1B_5,C1,0.779571354,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,15.59142685,,,1.460072041,0.352886915,12077,8,12069,0,0,0,0,,,,,,,,,12895.46582,,,,,,,,,,,,,,14963.83337,5533.539665,5539.786444,,,,,1.090471983,0.534340501,,,,,,,,,,,,
B03,F1A_2,F1,953.439209,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,FAM,19068.78516,,,977.888855,929.4873047,11341,6298,5043,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19688.10155,11570.64465,16078.51376,,,,,965.8500366,941.157959,,,,,,,,,,,,
B04,F1B_5,F1,0.68247354,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,FAM,13.64947128,,,1.395398498,0.267254949,10346,6,10340,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19891.19173,11234.32762,11239.34804,,,,,1.003372788,0.438671291,,,,,,,,,,,,
B05,CONTROL_27C_D3_1C_F1,F1,0.105603032,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,FAM,2.112060547,,,0.504445612,0.004435137,11141,1,11140,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,20054.36328,11502.08559,11502.85323,,,,,0.262863517,0.028617486,,,,,,,,,,,,
