code,Symbiont,Temp,Day,Pot,coundition,Countmean_log
1,C1,27,14,1,hemo,2.954242509
2,C1,27,14,2,hemo,3.263162465
3,C1,27,14,3,hemo,3.256958153
4,C1,27,3,1,scope,1
5,C1,27,3,2,scope,0.954242509
6,C1,27,3,3,scope,1.707570176
7,C1,27,7,1,hemo,2.523746467
8,C1,27,7,2,hemo,2.640481437
9,C1,27,7,3,hemo,2.770115295
10,C1,30,14,1,hemo,2.746634199
11,C1,30,14,2,hemo,2.591064607
12,C1,30,14,3,hemo,1.431363764
13,C1,30,3,1,scope,0
14,C1,30,3,2,scope,0.301029996
15,C1,30,3,3,scope,0.602059991
16,C1,30,7,1,hemo,1.643452676
17,C1,30,7,2,hemo,2.195899652
18,C1,30,7,3,hemo,1.963787827
19,C1,31,14,3,hemo,0.84509804
20,C1,31,3,1,scope,0.477121255
21,C1,31,3,2,scope,0
22,C1,31,3,3,scope,0
23,C1,31,7,2,hemo,0
24,C1,31,7,3,hemo,0.698970004
25,D1,27,14,1,hemo,3.057666104
26,D1,27,14,2,hemo,3.037426498
27,D1,27,14,3,hemo,3.405175546
28,D1,27,3,1,scope,2.045322979
29,D1,27,3,2,scope,2.089905111
30,D1,27,3,3,scope,2.919601024
31,D1,27,7,1,hemo,3.003460532
32,D1,27,7,2,hemo,2.976349979
33,D1,27,7,3,hemo,3.213252052
34,D1,30,14,1,hemo,2.970346876
35,D1,30,14,2,hemo,3.22685757
36,D1,30,3,1,scope,3.079181246
37,D1,30,3,2,scope,2.220108088
38,D1,30,3,3,scope,2.553883027
39,D1,30,7,1,hemo,3.569139725
40,D1,30,7,2,hemo,3.267171728
41,D1,30,7,3,hemo,3.039810554
42,D1,31,3,1,scope,1.799340549
43,D1,31,3,2,scope,1.707570176
44,D1,31,7,3,hemo,2.071882007
45,F1,27,14,1,hemo,1.255272505
46,F1,27,14,2,hemo,1.255272505
47,F1,27,14,3,hemo,0.698970004
48,F1,27,3,1,scope,0.602059991
49,F1,27,3,2,scope,1.397940009
50,F1,27,3,3,scope,0.301029996
51,F1,27,7,1,hemo,1.643452676
52,F1,27,7,2,hemo,1
53,F1,27,7,3,hemo,0
54,F1,30,14,1,hemo,0.84509804
55,F1,30,14,2,hemo,2.100370545
56,F1,30,14,3,hemo,1.301029996
57,F1,30,3,1,scope,0.301029996
58,F1,30,3,2,scope,0.477121255
59,F1,30,3,3,scope,0.477121255
60,F1,30,7,1,hemo,0
61,F1,30,7,2,hemo,1.361727836
62,F1,30,7,3,hemo,1.86923172
63,F1,31,3,1,scope,1.079181246
64,F1,31,3,2,scope,0.954242509
65,F1,31,3,3,scope,0.301029996
66,F1,31,7,1,hemo,2.649334859
67,F1,31,7,2,hemo,1.255272505
68,F1,31,7,3,hemo,2.230448921
69,G3,27,14,1,hemo,2.305351369
70,G3,27,14,2,hemo,2.859138297
71,G3,27,14,3,hemo,2.743509765
72,G3,27,3,1,scope,1.322219295
73,G3,27,3,2,scope,1.698970004
74,G3,27,3,3,scope,1.897627091
75,G3,27,7,1,hemo,2.053078443
76,G3,27,7,2,hemo,2.290034611
77,G3,27,7,3,hemo,2.100370545
78,G3,30,14,1,hemo,2.725911632
79,G3,30,14,2,hemo,2.856124444
80,G3,30,14,3,hemo,2.053078443
81,G3,30,3,1,scope,1.86923172
82,G3,30,3,2,scope,0.954242509
83,G3,30,3,3,scope,1.176091259
84,G3,30,7,1,hemo,2.685741739
85,G3,30,7,2,hemo,2.729974286
86,G3,30,7,3,hemo,2.392696953
87,G3,31,14,1,hemo,2.876794976
88,G3,31,3,1,scope,1.146128036
89,G3,31,3,2,scope,1.041392685
90,G3,31,3,3,scope,1.397940009
91,G3,31,7,1,hemo,1.982271233
92,G3,31,7,2,hemo,2.499687083
93,G3,31,7,3,hemo,2.240549248
1,C1,27,14,1,ddPCR,3.368844507
2,C1,27,14,2,ddPCR,3.57054294
3,C1,27,14,3,ddPCR,3.467163966
4,C1,27,3,1,ddPCR,0.84509804
5,C1,27,3,2,ddPCR,1
6,C1,27,3,3,ddPCR,1.176091259
7,C1,27,7,1,ddPCR,2.899820502
8,C1,27,7,2,ddPCR,2.550228353
9,C1,27,7,3,ddPCR,2.840106094
10,C1,30,14,1,ddPCR,2.093421685
11,C1,30,14,2,ddPCR,0.84509804
12,C1,30,14,3,ddPCR,1.568201724
13,C1,30,3,1,ddPCR,0
14,C1,30,3,2,ddPCR,0
15,C1,30,3,3,ddPCR,0.602059991
16,C1,30,7,1,ddPCR,2.790285164
17,C1,30,7,2,ddPCR,2.146128036
18,C1,30,7,3,ddPCR,2.045322979
19,C1,31,14,3,ddPCR,0
20,C1,31,3,1,ddPCR,0
21,C1,31,3,2,ddPCR,0.77815125
22,C1,31,3,3,ddPCR,0.903089987
23,C1,31,7,2,ddPCR,0.903089987
24,C1,31,7,3,ddPCR,0.477121255
25,D1,27,14,1,ddPCR,2.390935107
26,D1,27,14,2,ddPCR,2.824776462
27,D1,27,14,3,ddPCR,2.648360011
28,D1,27,3,1,ddPCR,1.447158031
29,D1,27,3,2,ddPCR,1.322219295
30,D1,27,3,3,ddPCR,1.681241237
31,D1,27,7,1,ddPCR,2.539076099
32,D1,27,7,2,ddPCR,2.269512944
33,D1,27,7,3,ddPCR,3.145507171
34,D1,30,14,1,ddPCR,2.949877704
35,D1,30,14,2,ddPCR,1.929418926
36,D1,30,3,1,ddPCR,1.556302501
37,D1,30,3,2,ddPCR,2.326335861
38,D1,30,3,3,ddPCR,2.167317335
39,D1,30,7,1,ddPCR,2.838219222
40,D1,30,7,2,ddPCR,2.394451681
41,D1,30,7,3,ddPCR,1.949390007
42,D1,31,3,1,ddPCR,2.198657087
43,D1,31,3,2,ddPCR,1.491361694
44,D1,31,7,3,ddPCR,2.387389826
45,F1,27,14,1,ddPCR,1.041392685
46,F1,27,14,2,ddPCR,0
47,F1,27,14,3,ddPCR,0.602059991
48,F1,27,3,1,ddPCR,0.477121255
49,F1,27,3,2,ddPCR,1.176091259
50,F1,27,3,3,ddPCR,1.698970004
51,F1,27,7,1,ddPCR,1.491361694
52,F1,27,7,2,ddPCR,1.322219295
53,F1,27,7,3,ddPCR,2.761927838
54,F1,30,14,1,ddPCR,2.008600172
55,F1,30,14,2,ddPCR,2.11058971
56,F1,30,14,3,ddPCR,0.698970004
57,F1,30,3,1,ddPCR,0
58,F1,30,3,2,ddPCR,1.113943352
59,F1,30,3,3,ddPCR,0.698970004
60,F1,30,7,1,ddPCR,1.755874856
61,F1,30,7,2,ddPCR,2.190331698
62,F1,30,7,3,ddPCR,2.540329475
63,F1,31,3,1,ddPCR,0
64,F1,31,3,2,ddPCR,0.301029996
65,F1,31,3,3,ddPCR,1.255272505
66,F1,31,7,1,ddPCR,0
67,F1,31,7,2,ddPCR,1.826074803
68,F1,31,7,3,ddPCR,0.477121255
69,G3,27,14,1,ddPCR,2.866877814
70,G3,27,14,2,ddPCR,2.990338855
71,G3,27,14,3,ddPCR,2.399673721
72,G3,27,3,1,ddPCR,0.84509804
73,G3,27,3,2,ddPCR,2.558708571
74,G3,27,3,3,ddPCR,1.041392685
75,G3,27,7,1,ddPCR,2.711807229
76,G3,27,7,2,ddPCR,2.918030337
77,G3,27,7,3,ddPCR,2.45331834
78,G3,30,14,1,ddPCR,2.053078443
79,G3,30,14,2,ddPCR,2.252853031
80,G3,30,14,3,ddPCR,2.663700925
81,G3,30,3,1,ddPCR,2.463892989
82,G3,30,3,2,ddPCR,2.662757832
83,G3,30,3,3,ddPCR,1.431363764
84,G3,30,7,1,ddPCR,2.745074792
85,G3,30,7,2,ddPCR,2.929418926
86,G3,30,7,3,ddPCR,2.969881644
87,G3,31,14,1,ddPCR,2.017033339
88,G3,31,3,1,ddPCR,1.491361694
89,G3,31,3,2,ddPCR,1.785329835
90,G3,31,3,3,ddPCR,2.31386722
91,G3,31,7,1,ddPCR,2.939019776
92,G3,31,7,2,ddPCR,1.763427994
93,G3,31,7,3,ddPCR,2.541579244
